taxon_id,taxon_kind,scientific_name,language,common_name,source,source_priority,confidence,display_status,reviewer,notes,apply_status
taxon:birds:000010,canonical_taxon,Pica pica,fr,Pie bavarde,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000010,canonical_taxon,Pica pica,nl,Ekster,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000011,canonical_taxon,Sturnus vulgaris,fr,Étourneau sansonnet,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000011,canonical_taxon,Sturnus vulgaris,nl,Spreeuw,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000012,canonical_taxon,Sylvia atricapilla,fr,Fauvette à tête noire,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000012,canonical_taxon,Sylvia atricapilla,nl,Zwartkop,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000013,canonical_taxon,Troglodytes troglodytes,fr,Troglodyte mignon,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000013,canonical_taxon,Troglodytes troglodytes,nl,Winterkoning,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000014,canonical_taxon,Turdus merula,fr,Merle noir,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000014,canonical_taxon,Turdus merula,nl,Merel,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000015,canonical_taxon,Turdus philomelos,fr,Grive chanteuse,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000015,canonical_taxon,Turdus philomelos,nl,Zanglijster,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000016,canonical_taxon,Carduelis carduelis,fr,Chardonneret élégant,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000017,canonical_taxon,Chloris chloris,fr,Verdier d'Europe,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000017,canonical_taxon,Chloris chloris,nl,Groenling,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000018,canonical_taxon,Acrocephalus scirpaceus,fr,Rousserolle africaine,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000018,canonical_taxon,Acrocephalus scirpaceus,nl,Kleine Karekiet,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
